Id;Name;Genre;ReleaseDate;DeveloperId
1;Minecraft;Sandbox;2011-11-18;1
2;The Witcher 3: Wild Hunt;RPG;2015-05-18;2
3;Need for Speed: Most Wanted;Racing;2012-10-30;3
4;Assassin's Creed Unity;Adventure;2014-11-11;4
5;Just Cause 3;Action;2015-12-01;5
6;Grand Theft Auto V;Action;2013-09-17;6
7;Frostpunk;Survival;2018-04-24;7
8;Assetto Corsa;Racing;2014-12-19;8
9;Call of Duty: Advanced Warfare;FPS;2014-11-03;9
10;Super Mario Bros.;Platformer;1985-09-13;10
11;Rocket League;Sports;2015-07-07;11
12;Cities: Skylines;Simulation;2015-03-10;12
13;Battlefield 4;FPS;2013-10-29;3
14;Red Dead Redemption 2;Action;2018-10-26;6
15;The Sims 3;Simulation;2009-06-02;3
16;Tom Clancy's The Division;Adventure;2016-03-08;4
17;Cyberpunk 2077;RPG;2020-12-10;2
18;Far Cry 4;FPS;2014-11-18;4
19;Mirror's Edge;Action;2008-11-11;3
20;The Crew;Racing;2014-12-02;4
